dataset,generator,fold,trial,running_time_s,running_time_min,MCC
adult,ddpm,0,5,1611.1586728096008,26.85264454682668,0.5386187217630637
adult,ddpm,0,6,1963.6168689727783,32.72694781621297,0.5757128427273102
adult,ddpm,0,7,1493.8009462356567,24.896682437260946,0.5595422250182566
adult,ddpm,0,8,1657.009438753128,27.6168239792188,0.5730867978019536
adult,ddpm,0,9,2703.342627763748,45.05571046272914,0.5707554899797403
adult,ddpm,0,10,1486.237910747528,24.770631845792135,0.5606666662609442
adult,ddpm,0,11,2947.954125404358,49.132568756739296,0.5671425103938356
adult,ddpm,0,12,3204.58486032486,53.409747672081004,0.5696383398903239
adult,ddpm,0,13,3155.263497114181,52.58772495190302,0.5902384796993861
adult,ddpm,0,14,1549.0788252353668,25.817980420589446,0.5502118429971351
adult,ddpm,0,15,3100.655086994171,51.677584783236185,0.5827488696945239
adult,ddpm,0,16,3134.1095263957977,52.235158773263294,0.582247456260006
adult,ddpm,0,17,3067.5873007774358,51.126455012957265,0.596504839621217
adult,ddpm,0,18,2983.884994506836,49.73141657511393,0.5951366049434402
adult,ddpm,0,19,2650.802191734314,44.180036528905234,0.5852888863652683
adult,ddpm,1,0,2910.9339706897736,48.51556617816289,0.564011619320946
adult,ddpm,1,1,2792.092362880707,46.53487271467845,0.5484737982797977
adult,ddpm,1,2,3547.858234643936,59.130970577398934,0.5601005238664408
adult,ddpm,1,3,1597.0690622329712,26.617817703882853,0.5708909704800534
adult,ddpm,1,4,1502.5136423110962,25.04189403851827,0.5237661276729089
adult,ddpm,1,5,1629.0459365844729,27.150765609741214,0.5354278287798611
adult,ddpm,1,6,1935.9156062603,32.26526010433833,0.5561072018213835
adult,ddpm,1,7,1492.674399137497,24.877906652291617,0.568583485623875
adult,ddpm,1,8,1674.807909488678,27.913465158144632,0.5666280210680693
adult,ddpm,1,9,2777.110636472702,46.285177274545035,0.5729176686536513
adult,ddpm,1,10,2498.572905778885,41.64288176298142,0.5601660143519469
adult,ddpm,1,11,2721.876001358032,45.36460002263387,0.5778316153719114
adult,ddpm,1,12,2744.278116464615,45.73796860774358,0.5743979986219946
adult,ddpm,1,13,2810.7630653381348,46.84605108896891,0.5671176885632633
adult,ddpm,1,14,2599.819715976715,43.33032859961192,0.5803856464067537
adult,ddpm,1,15,2658.139846086502,44.30233076810837,0.5834702218863307
adult,ddpm,1,16,2762.442868709564,46.04071447849274,0.5809489984500877
adult,ddpm,1,17,2694.840679883957,44.91401133139928,0.5728564402932165
adult,ddpm,1,18,2750.13360953331,45.8355601588885,0.5628166616991532
adult,ddpm,1,19,2768.982376098633,46.149706268310545,0.5883019745602208
adult,ddpm,2,0,3867.0326068401337,64.45054344733556,0.55517414646731
adult,ddpm,2,1,4022.592201948166,67.04320336580277,0.5732855080904905
adult,ddpm,2,2,5795.442266702652,96.5907044450442,0.5696285048058325
adult,ddpm,2,3,2090.447141647339,34.84078569412232,0.5762069184917165
adult,ddpm,2,4,1851.7137627601624,30.861896046002705,0.5335090108921127
adult,ddpm,2,5,2246.5362367630005,37.442270612716676,0.5445616420608637
