dataset,generator,fold,n_trials,trial_time_mean_s,trial_time_median_s,trial_time_min_s,trial_time_max_s,total_tuning_time_s,best_trial_time_s
german,ctgan,2,40,275.01049233675,273.8238924741745,170.02628135681152,470.2331314086914,11000.419693470001,266.07329416275024
german,ctgan,3,20,280.4951917529106,283.00133514404297,192.7172427177429,394.8583641052246,5609.903835058212,311.00142216682434
german,ctgan,4,20,259.0342121362686,258.0637480020523,139.1976900100708,509.8220779895783,5180.684242725372,256.7227020263672
german,ddpm,0,20,1527.3368756055831,1182.007761478424,723.7096803188324,4730.779084682465,30546.737512111664,4730.779084682465
german,ddpm,1,20,425.80726248025894,379.9790905714035,353.2736053466797,672.5681037902832,8516.145249605179,380.7329897880554
german,ddpm,2,20,474.43416103124616,511.9921888113022,349.3703546524048,642.3678162097931,9488.683220624924,531.6521832942963
german,ddpm,3,20,478.6961019396782,518.2015182971954,307.5562188625336,690.7508783340454,9573.922038793564,562.7638657093048
german,ddpm,4,20,473.77295137643813,460.7625571489334,353.3876175880432,701.1901094913483,9475.459027528763,379.4547290802002
german,realtabformer,0,5,136.9440055847168,136.71314525604248,131.9127323627472,144.2601034641266,684.720027923584,132.34840726852417
german,realtabformer,1,20,160.2193425297737,142.39997816085815,127.79795360565186,357.4228117465973,3204.3868505954742,149.65897750854492
german,realtabformer,2,20,168.9213578224182,167.84854066371918,128.89194059371948,255.94913601875305,3378.4271564483643,255.94913601875305
german,realtabformer,3,20,867.4414234042167,917.7246718406677,619.531530380249,1264.121450662613,17348.828468084335,739.1208555698395
german,realtabformer,4,20,1054.050030684471,1075.1656736135483,853.6585848331451,1353.7547941207886,21081.000613689423,1061.4167408943176
german,tvae,0,10,502.53081276416776,530.8536460399628,339.1171672344208,591.4942307472229,5025.308127641678,339.1171672344208
german,tvae,1,20,125.792728805542,137.94026517868042,27.39972424507141,189.0014531612396,2515.85457611084,137.42858266830444
german,tvae,2,20,107.12271099090576,99.35957276821136,51.61643981933594,145.33495593070984,2142.4542198181152,85.90972137451172
german,tvae,3,20,124.99743130207062,139.1201652288437,59.65551376342773,173.55807781219482,2499.9486260414124,61.66018033027649
german,tvae,4,40,125.76913758516312,137.81356263160706,56.726160287857056,180.810560464859,5030.765503406525,142.78366231918335
